x,y,phi,vx,vy,w
1.5368409641072607,-2.6570283323989963,-2.6570283323989963,0.2,0.0,0.0
1.5332889735487358,-2.6571729065564864,-2.6571729065564864,0.2,0.0,0.0
1.5332889735487358,-2.6571729065564864,-2.6571729065564864,0.2,0.0,0.0
1.5332889735487358,-2.6571729065564864,-2.6571729065564864,0.2,0.0,0.0
1.5332889735487358,-2.6571729065564864,-2.6571729065564864,0.2,0.0,0.0
1.5332889735487358,-2.6571729065564864,-2.6571729065564864,0.2,0.0,0.0
1.5288403007033733,-2.657352916821785,-2.657352916821785,0.2,0.0,0.0
1.5288403007033733,-2.657352916821785,-2.657352916821785,0.2,0.0,0.0
1.5288403007033733,-2.657352916821785,-2.657352916821785,0.2,0.0,0.0
1.5288403007033733,-2.657352916821785,-2.657352916821785,0.2,0.0,0.0
1.5288403007033733,-2.657352916821785,-2.657352916821785,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.5261945085168915,-2.6574373075611133,-2.6574373075611133,0.2,0.0,0.0
1.522650258829233,-2.6575945646263723,-2.6575945646263723,0.2,0.0,0.0
1.522650258829233,-2.6575945646263723,-2.6575945646263723,0.2,0.0,0.0
1.522650258829233,-2.6575945646263723,-2.6575945646263723,0.2,0.0,0.0
1.522650258829233,-2.6575945646263723,-2.6575945646263723,0.2,0.0,0.0
1.5191074450905377,-2.65772637723379,-2.65772637723379,0.2,0.0,0.0
1.5191074450905377,-2.65772637723379,-2.65772637723379,0.2,0.0,0.0
1.5155652174710812,-2.6577961697466406,-2.6577961697466406,0.2,0.0,0.0
1.5155652174710812,-2.6577961697466406,-2.6577961697466406,0.2,0.0,0.0
1.5155652174710812,-2.6577961697466406,-2.6577961697466406,0.2,0.0,0.0
1.5155652174710812,-2.6577961697466406,-2.6577961697466406,0.2,0.0,0.0
1.5155652174710812,-2.6577961697466406,-2.6577961697466406,0.2,0.0,0.0
